Course, From, Skill
Foundations of Data Science: K-Means Clustering in Python, University of London, Data Analysis  Computer Programming  Python Programming  Statistical Analysis  Statistical Programming  Applied Machine Learning  Basic Descriptive Statistics  Data Visualization  General Statistics  Machine Learning
Data Science con Python e R, Università di Napoli Federico II, Data Analysis  Business Analysis  Leadership and Management  Calculus  Data Management  Python Programming
Machine Learning Engineering for Production (MLOps), DeepLearning.AI, Machine Learning  Applied Machine Learning  Tensorflow  Python Programming  Statistical Programming  DevOps  Devops Tools  Exploratory Data Analysis  Feature Engineering  Machine Learning Software  Probability & Statistics  Cloud Computing  Cloud Infrastructure  Google Cloud Platform  Performance Management  Strategy and Operations  Kubernetes  Leadership and Management
Структуры данных Python, University of Michigan, Leadership and Management  Python Programming  Problem Solving  Computer Programming  Programming Principles
IBM Back-End Development, IBM, Software Engineering  Application Development  Software Architecture  Computer Programming  Python Programming  Software Engineering Tools  Cloud Applications  DevOps  Security Engineering  Cloud Computing  Programming Principles  Cloud Infrastructure  Cloud-Based Integration  Microarchitecture  Agile Software Development  Communication  IBM Cloud  Kubernetes  Software Security  Cloud Platforms  Software Testing  Docker (Software)  Linux  Product Management  Software-Defined Networking  Web Development  Collaboration  Leadership and Management  Data Analysis  Django (Web Framework)  Mergers & Acquisitions  SQL
Introduction to Git and GitHub, Google, Collaboration  Computer Programming  Python Programming
Data Analysis in Python with pandas & matplotlib in Spyder, Codio, Basic Descriptive Statistics  Data Analysis  Python Programming
程序设计与算法, Peking University, Problem Solving  Leadership and Management  Algebra  Computer Programming  Programming Principles  C++ Programming  Mathematics  Calculus  Computational Logic  Computational Thinking  C Programming Language Family  Mathematical Theory & Analysis  Python Programming  Algorithms  Data Structures
Intelligent Digital Factories, L&T EduTech, Python Programming
Data Analysis with Python, University of Colorado Boulder, Bayesian Statistics  Data Mining  Dimensionality Reduction  Machine Learning  Regression
Python and Pandas for Data Engineering, Duke University, Computer Programming  Python Programming  Programming Principles  Big Data  Computational Logic  Computer Programming Tools  Data Analysis  Data Structures  Problem Solving
Using Databases with Python, University of Michigan, Computer Programming  Data Structures  Database Administration  Database Design  Database Theory  Databases  Python Programming  Data Architecture  Data Model  Database Application  SQL
Algorithms, Stanford University, Algorithms  Theoretical Computer Science  Computer Programming  Problem Solving  Graph Theory  Mathematics  Data Structures  Computational Thinking  Mathematical Theory & Analysis  Critical Thinking  Computational Logic  Programming Principles  Software Engineering
IBM Cybersecurity Analyst, IBM, Cryptography  Python Programming  Linux  Network Security  Security Strategy  Software Security  System Software  Computer Security Incident Management  Networking Hardware  Security Software  Cloud Computing  Cyberattacks  DevOps  Mobile Security  Computer Programming  Databases  Leadership and Management  Operating Systems  SQL  System Security
Introduction to Python, Arizona State University, Computer Programming  Python Programming
Python Database Connection with MariaDB From Infosys, Coursera Project Network, Computer Programming  Python Programming
Introduction to Portfolio Construction and Analysis with Python, EDHEC Business School, Computer Programming  Finance  Investment Management  Python Programming  Statistical Programming  Risk Management
IBM Machine Learning, IBM, Machine Learning  Machine Learning Algorithms  Human Learning  Statistical Machine Learning  Data Analysis  Probability & Statistics  Applied Machine Learning  Algorithms  Forecasting  General Statistics  Statistical Analysis  Deep Learning  Python Programming  Regression  Machine Learning Software  Artificial Neural Networks  Exploratory Data Analysis  Feature Engineering  Dimensionality Reduction  Statistical Tests  Reinforcement Learning  Computational Thinking  Databases  Network Model
Select Topics in Python, Codio, Django (Web Framework)  Natural Language Processing  Python Programming
DeepLearning.AI TensorFlow Developer, DeepLearning.AI, Machine Learning  Tensorflow  Deep Learning  Machine Learning Algorithms  Artificial Neural Networks  Applied Machine Learning  Human Learning  Computer Programming  Python Programming  Machine Learning Software  Natural Language Processing  Computer Vision  Forecasting  Data Visualization  Network Model  Statistical Machine Learning  Statistical Analysis
Master of Science in Data Analytics Engineering, Northeastern University, Machine Learning  Python Programming  Regression  Data Science  Deep Learning
Linear Regression with Python, Coursera Project Network, Machine Learning  Python Programming  Regression  Data Science  Deep Learning
Data Science Challenge, Coursera Project Network, Computer Programming  Data Analysis  Data Science  Machine Learning  Python Programming
Introducción a la programación con Python, Universidad Austral, Computational Logic  Computer Programming  Python Programming  Programming Principles  Computer Programming Tools  Algorithms  Mathematics  System Programming  Problem Solving  Computational Thinking
Python for Data Visualization:Matplotlib & Seaborn(Enhanced), Coursera Project Network, Data Visualization  Data Analysis  Python Programming
Natural Language Processing, DeepLearning.AI, Machine Learning  Natural Language Processing  Python Programming  Statistical Programming  Artificial Neural Networks  Probability & Statistics  Statistical Machine Learning  Deep Learning  Machine Learning Algorithms  Applied Machine Learning  Computer Programming  General Statistics  Human Learning  Mathematics
Create Interactive Dashboards with Streamlit and Python, Coursera Project Network, Data Visualization  Python Programming  Computer Programming  Data Science
Python for Genomic Data Science, Johns Hopkins University, Python Programming  Computer Programming  Bioinformatics
MLOps | Machine Learning Operations, Duke University, Applied Machine Learning  Big Data  Cloud Computing  Computer Programming  DevOps  Machine Learning  Machine Learning Software  Microsoft Azure  Python Programming
Perform exploratory data analysis on retail data with Python, Coursera Project Network, Data Analysis  Data Visualization  Exploratory Data Analysis  Python Programming
Machine Learning, University of Washington, Machine Learning  Algorithms  Machine Learning Algorithms  Human Learning  Applied Machine Learning  Statistical Machine Learning  Python Programming  Probability & Statistics  Regression  Data Analysis  Machine Learning Software  Mathematics  Problem Solving  Computer Programming  Decision Making  Probability Distribution
